,source,target,coef_mean,coef_abs,p,-logp
43459,EOMES,PARPBP,0.0009452841,0.0009452841,2.1838969464836588e-07,6.6607678589294945
43461,SP3,PARPBP,0.008908084,0.008908084,1.3617692597290851e-13,12.865896473712318
43462,NKX2-1,PARPBP,-0.004188222,0.004188222,5.047375318535349e-13,12.296934400297326
43463,HES1,PARPBP,0.0024146247,0.0024146247,0.0008339342894009795,3.0788681686366695
43465,TFAP2A,PARPBP,0.0039355974,0.0039355974,3.8482895803277115e-09,8.414732255135656
43466,JUND,PARPBP,0.0084560355,0.0084560355,1.3804882586832654e-14,13.859967282766661
43468,NR4A3,PARPBP,0.0047372086,0.0047372086,7.338197667997949e-11,10.134410593893163
43469,PHOX2A,PARPBP,0.0010095706,0.0010095706,4.29990466643201e-09,8.366541173095179
43470,AR,PARPBP,-0.0057272557,0.0057272557,1.3280375809178618e-07,6.876789635092759
43472,SOX15,PARPBP,0.0008925242,0.0008925242,0.00012613167912668932,3.899175822689128
43474,SP4,PARPBP,-0.0025936414,0.0025936414,9.166191895253153e-08,7.037811054992478
43476,SOX14,PARPBP,0.0011085361,0.0011085361,1.0071732394552746e-05,4.996895821930479
43477,TFAP2B,PARPBP,-0.0023849595,0.0023849595,2.602625894995788e-05,4.584588253487144
43478,SOX2,PARPBP,-0.0046342714,0.0046342714,9.990546077036347e-05,4.000410772858903
43482,HEYL,PARPBP,0.0015910197,0.0015910197,1.4831024238943172e-07,6.82882885531275
43484,JUNB,PARPBP,0.007207337,0.007207337,2.8599577074812988e-09,8.543640389088896
43485,HES5,PARPBP,-0.0046274546,0.0046274546,1.9101558226265337e-06,5.718931203356175
43487,FOSB,PARPBP,-0.003545902,0.003545902,1.8448231418007844e-05,4.734045262145352
43488,SP9,PARPBP,-0.0038285623,0.0038285623,6.2879120852066875e-15,14.201493539038706
43489,NEUROD1,PARPBP,-0.0011892067,0.0011892067,2.677637209318264e-07,6.572248265510858
43490,RFX4,PARPBP,0.015436437,0.015436437,7.929912397209634e-14,13.10073161036444
43491,HNF4G,PARPBP,-0.0012702331,0.0012702331,5.478878573852889e-05,4.261308324549779
43492,OTX2,PARPBP,-0.0064858287,0.0064858287,2.2917161611198624e-07,6.639839172609018
43493,TFEC,PARPBP,-0.0019713284,0.0019713284,1.29741863706995e-06,5.8869198678374985
43494,PAX7,PARPBP,0.0009806369,0.0009806369,0.00043280950965001,3.363703205518973
43495,NEUROG2,PARPBP,-0.0010455698,0.0010455698,0.00020642206222621813,3.685243887514521
43496,LMX1B,PARPBP,0.0059307134,0.0059307134,3.0447849586195144e-08,7.5164433744868635
43497,SP2,PARPBP,0.0045740716,0.0045740716,4.973072732140291e-13,12.303375189081429
43498,HOXB9,PAUPAR,-0.0023425135,0.0023425135,0.00017692039719454083,3.7522220942899778
43499,FOSL1,PAUPAR,-0.0022595255,0.0022595255,0.0006870624437915325,3.1630037902159995
43500,SP1,PAUPAR,0.009238763,0.009238763,1.277208572078169e-12,11.893738175323827
43504,LHX8,PAUPAR,0.003286158,0.003286158,2.650407017066777e-08,7.576687427311221
43505,SP3,PAUPAR,0.0065137586,0.0065137586,0.00021225330100197291,3.673145546804652
43506,IRF1,PAUPAR,-0.0067813843,0.0067813843,3.516075487392332e-08,7.45394180953512
43507,ZBTB7C,PAUPAR,-0.006326152,0.006326152,7.44216727497781e-05,4.128300572720372
43508,KLF16,PAUPAR,0.0033971728,0.0033971728,1.02005122597581e-05,4.991378017845926
43511,E2F7,PAUPAR,0.02744649,0.02744649,5.502915380863648e-14,13.2594071653474
43512,AR,PAUPAR,-0.0052086767,0.0052086767,6.0071361599503786e-05,4.221332524063144
43513,SP4,PAUPAR,0.00444931,0.00444931,3.284636650011612e-05,4.483512665563161
43514,MITF,PAUPAR,0.00869427,0.00869427,1.7712097372920907e-11,10.751730008908556
43517,HEYL,PAUPAR,-0.005025813,0.005025813,4.431288446729621e-05,4.353469979432218
43518,FOSL2,PAUPAR,0.0071400437,0.0071400437,1.307359890894321e-07,6.8836048430892935
43519,JUNB,PAUPAR,-0.013710355,0.013710355,1.086579118223038e-07,6.963938645453272
43520,SOX9,PAUPAR,-0.0033182602,0.0033182602,0.0002809801914124684,3.5513242959792315
43521,RREB1,PAUPAR,0.016519757,0.016519757,5.950752546525089e-10,9.225428108870325
43522,FLI1,PAUPAR,-0.005628446,0.005628446,2.4681620072752218e-05,4.607626337119967
43523,HNF4G,PAUPAR,-0.009350676,0.009350676,7.85406345640634e-06,5.104905594196771
43524,TFEC,PAUPAR,0.008229536,0.008229536,0.000704237508956448,3.152280847344528
43525,TFAP2D,PAUPAR,-0.0058574476,0.0058574476,3.256250332503524e-08,7.4872822150095475
43527,EBF3,PAUPAR,0.016698508,0.016698508,1.012697908294219e-07,6.994520087045598
43530,FOXA2,PAUPAR,-0.003745705,0.003745705,4.8345608581190856e-06,5.315642968438719
43531,CTCF,PAUPAR,0.0048014433,0.0048014433,1.3559218362305034e-05,4.86776534518296
43532,RUNX1,PAUPAR,-0.010008642,0.010008642,4.0877106076995585e-06,5.388519857963347
43533,MLX,PAUPAR,0.0011757531,0.0011757531,4.174020109594396e-05,4.379445462921537
43534,HNF4A,PAUPAR,-0.004663137,0.004663137,1.1180113789128427e-05,4.9515537762582635
43535,EOMES,PAUPAR,-0.0035007054,0.0035007054,1.3402106064221203e-07,6.872826949381471
43537,TFAP2A,PAUPAR,-0.0087015685,0.0087015685,0.00022964428959015775,3.638944349420096
43539,KLF6,PAUPAR,-0.02082983,0.02082983,7.652822020246947e-10,9.116178386830414
43541,ELK4,PAUPAR,-0.005153974,0.005153974,3.86219448182555e-06,5.413165860992391
43542,RORB,PAUPAR,0.065489024,0.065489024,1.8223079270902422e-14,13.739378235630426
43543,WT1,PAUPAR,-0.0023981999,0.0023981999,2.047042977938607e-05,4.688873039171573
43546,PPARG,PAUPAR,0.0032469546,0.0032469546,2.0255783487408528e-05,4.693450953779952
43549,ELF3,PAUPAR,0.009252582,0.009252582,6.991221996806676e-09,8.155446907217666
43551,POU2F2,PAUPAR,-0.009542645,0.009542645,8.684493208528722e-05,4.061255520125495
43552,LMX1A,PAUPAR,0.014923785,0.014923785,1.26417525516731e-08,7.898192714759299
43554,CREB5,PAUPAR,0.016490474,0.016490474,9.407470165154141e-05,4.026527150327202
43557,ELF2,PAUPAR,-0.010355964,0.010355964,6.847682451232241e-06,5.164456387477395
43558,ARNTL2,PAUPAR,-0.0064561106,0.0064561106,0.00019160228484405134,3.7175993162948076
43559,MEIS1,PAUPAR,0.040664904,0.040664904,3.6967169872221187e-10,9.432183796814645
43566,NEUROD1,PAUPAR,0.029876309,0.029876309,2.0615445417423375e-09,8.685807277392366
43568,NEUROG2,PAUPAR,-0.0060640513,0.0060640513,8.55279440879969e-05,4.067891967371901
