,source,target,coef_mean,coef_abs,p,-logp
48784,ONECUT2,PRSS23,0.049058262,0.049058262,8.856662474789906e-11,10.052729905861817
48785,PPARG,PRSS23,0.0124503365,0.0124503365,3.216639081032012e-07,6.492597665833989
48786,POU6F2,PRSS23,0.02405881,0.02405881,2.8153014141715474e-10,9.550475101521757
48787,OTX2,PRSS23,-0.016142126,0.016142126,5.676157377158251e-05,4.245945571797388
48789,MYOG,PRSS23,-0.0193066,0.0193066,9.670254878309036e-07,6.014562079093379
48790,TFAP4,PRSS23,0.006928193,0.006928193,2.0056448116982148e-11,10.6977459755916
48791,POU2F2,PRSS23,-0.015027658,0.015027658,9.566218370804096e-08,7.01925970958649
48792,POU3F2,PRSS23,-0.02193995,0.02193995,0.00014422233264630162,3.840967484456523
48794,SP8,PRSS23,0.0046593416,0.0046593416,1.3832036646788617e-05,4.859113869106821
48795,MEIS1,PRSS23,-0.027281757,0.027281757,2.6779395873267285e-05,4.572199224630426
48798,ERG,PRSS23,-0.009964851,0.009964851,3.3280738128280914e-10,9.47780705012517
48799,BCL11B,PRSS23,0.014214809,0.014214809,0.00033238433114261324,3.4783594573870014
48800,NEUROD1,PRSS23,0.014365311,0.014365311,2.154537330025469e-07,6.66664597682109
48801,RARB,PRSS23,0.008513766,0.008513766,0.00047061341256982313,3.3273356995100727
48802,RFX4,PRSS23,-0.01916727,0.01916727,3.0567607585441724e-05,4.514738550580416
48803,ONECUT1,PRSS23,-0.015277476,0.015277476,1.91383545831909e-08,7.718095403349058
48804,NEUROG2,PRSS23,-0.007261215,0.007261215,2.0520991340085276e-08,7.687801662900897
48805,TEAD1,PRSS23,0.030051084,0.030051084,2.7213717099164256e-11,10.565212134243701
48806,ONECUT3,PRSS23,-0.014505599,0.014505599,3.169251653112938e-08,7.499043274467301
48809,HIVEP3,PRSS23,0.026321346,0.026321346,3.884000043059653e-08,7.4107207739492615
48810,LHX2,PRSS23,-0.055128824,0.055128824,8.901725814096543e-13,12.050525786739493
48812,GATA3,PRSS23,-0.014553094,0.014553094,0.0001672338344818784,3.776675852242509
48814,EBF1,PRSS23,0.031608026,0.031608026,2.91880545548873e-08,7.534794850686317
48815,ETV3,PRSS23,0.0045848205,0.0045848205,4.51711493091507e-09,8.345138859355094
48818,MEF2C,PRSS23,0.046321996,0.046321996,5.402367642142913e-10,9.267415864517117
48819,SOX15,PRSS23,-0.0056706187,0.0056706187,5.729409804956102e-13,12.241890113050452
48821,SOX2,PRSS23,0.02946952,0.02946952,2.875535763285686e-07,6.5412812266748315
48822,FOSB,PRSS23,0.017532637,0.017532637,5.304752766126256e-12,11.27533485206597
48823,PAX2,PRSS23,-0.018211568,0.018211568,5.221526238958802e-07,6.282202535259113
48824,SP9,PRSS23,-0.017046954,0.017046954,3.7585565939872526e-07,6.4249789060348
48830,TFAP4,PTCHD1,0.010216735,0.010216735,2.5306952231818258e-08,7.596760154668057
48832,CTCF,PTCHD1,0.020895714,0.020895714,2.7317860033362617e-05,4.563553324467183
48835,SP1,PTCHD1,-0.020857845,0.020857845,7.642077719891728e-06,5.116788549852468
48838,IRF1,PTCHD1,0.02329164,0.02329164,4.910031665065979e-10,9.308915707078848
48839,MAZ,PTCHD1,0.013050009,0.013050009,2.1542237742573956e-06,5.66670918549606
48840,TFAP2A,PTCHD1,-0.039888687,0.039888687,1.2159198332434028e-07,6.915095057569634
48842,SP8,PTCHD1,0.03022738,0.03022738,1.7900693413165434e-08,7.7471301455743715
48843,KLF16,PTCHD1,0.009578739,0.009578739,5.2325084529412626e-08,7.281290061400593
48845,E2F7,PTCHD1,-0.020895068,0.020895068,8.311486383742475e-11,10.080321302264936
48850,WT1,PTCHD1,-0.010268118,0.010268118,1.4224740152811971e-08,7.846955658235571
48853,PPARG,PTCHD1,-0.0128604,0.0128604,0.0006550569026244676,3.1837209726457214
48855,POU6F2,PTCHD1,0.08913943,0.08913943,1.392851565054256e-18,17.85609516348465
48856,SP9,PTCHD1,-0.026615445,0.026615445,1.16114119049964e-05,4.9351149684382545
48857,NR1H4,PTCHD1,0.007926951,0.007926951,0.00048403111384221327,3.315126720719893
48858,HNF4G,PTCHD1,-0.02664795,0.02664795,9.550208560222239e-06,5.019987144063935
